name,country,latitude,longitude,timezone,population,region
Sant Julià de Lòria,AD,42.46372,1.49129,Europe/Andorra,8022,06
Ordino,AD,42.55623,1.53319,Europe/Andorra,3066,05
les Escaldes,AD,42.50729,1.53414,Europe/Andorra,15853,08
la Massana,AD,42.54499,1.51483,Europe/Andorra,7211,04
Encamp,AD,42.53474,1.58014,Europe/Andorra,11223,03
Canillo,AD,42.5676,1.59756,Europe/Andorra,3292,02
Andorra la Vella,AD,42.50779,1.52109,Europe/Andorra,20430,07
Warīsān,AE,25.16744,55.40708,Asia/Dubai,108759,03
Umm Suqaym,AE,25.15491,55.21015,Asia/Dubai,16459,03
Umm Al Quwain City,AE,25.56473,55.55517,Asia/Dubai,59098,07
Ţarīf Kalbā,AE,25.0695,56.33115,Asia/Dubai,51000,04
Ar Rāshidīyah,AE,25.22499,55.38947,Asia/Dubai,38425,03
Ras Al Khaimah City,AE,25.78953,55.9432,Asia/Dubai,351943,05
Muzayri‘,AE,23.14355,53.7881,Asia/Dubai,10000,01
Maşfūţ,AE,24.81089,56.10657,Asia/Dubai,8988,02
Zayed City,AE,23.65416,53.70522,Asia/Dubai,63482,01
Khawr Fakkān,AE,25.33132,56.34199,Asia/Dubai,40677,06
Kalbā,AE,25.0513,56.35422,Asia/Dubai,37545,06
Jumayrā,AE,25.20795,55.24969,Asia/Dubai,39080,03
Al Jazīrah al Ḩamrā’,AE,25.7091,55.80772,Asia/Dubai,10190,05
Dubai,AE,25.07725,55.30927,Asia/Dubai,3790000,03
Dibba Al-Fujairah,AE,25.59246,56.26176,Asia/Dubai,30000,04
Dibba Al-Hisn,AE,25.61955,56.27291,Asia/Dubai,26395,04
Dayrah,AE,25.27143,55.30207,Asia/Dubai,400000,03
Sharjah,AE,25.33737,55.41206,Asia/Dubai,1800000,06
Ar Ruways,AE,24.11028,52.73056,Asia/Dubai,25000,01
Al Manāmah,AE,25.3299,56.02188,Asia/Dubai,5823,02
Ḩattā,AE,24.80073,56.12726,Asia/Dubai,15324,03
Al Fujairah City,AE,25.11641,56.34141,Asia/Dubai,118933,04
Al Ain City,AE,24.19167,55.76056,Asia/Dubai,846747,01
Ajman City,AE,25.40177,55.47878,Asia/Dubai,490035,02
Adh Dhayd,AE,25.28812,55.88157,Asia/Dubai,20165,06
Abu Dhabi,AE,24.45118,54.39696,Asia/Dubai,1807000,01
Abū Hayl,AE,25.28413,55.33153,Asia/Dubai,18043,03
As Saţwah,AE,25.22192,55.27459,Asia/Dubai,40997,03
Nadd al Ḩumr,AE,25.20131,55.38388,Asia/Dubai,13589,03
Suwayḩān,AE,24.46235,55.33715,Asia/Dubai,5403,01
Al Ḩamīdīyah,AE,25.40001,55.52925,Asia/Dubai,27000,02
Al Waheda,AE,25.29173,55.33822,Asia/Dubai,21608,03
Al Twar First,AE,25.27148,55.36165,Asia/Dubai,12114,03
AL Twar Second,AE,25.26309,55.38028,Asia/Dubai,5068,03
Al Qusais Second,AE,25.27148,55.38603,Asia/Dubai,12851,03
Al Karama,AE,25.24004,55.30106,Asia/Dubai,75560,03
